age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
38.0,13492.0,13.0,0.0,0.0,60.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
29.0,1484705.0,9.0,0.0,0.0,25.0,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
66.0,182110.89,11.0,0.0,0.0,40.0,State-gov,Assoc-voc,Widowed,Exec-managerial,Unmarried,White,Female,United-States,<=50K
38.0,202998.31,9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,United-States,<=50K
39.0,1484705.0,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,El-Salvador,<=50K
37.0,177804.6,11.0,0.0,0.0,50.0,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
17.0,187856.12,7.0,0.0,0.0,40.0,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
33.0,111250.75,13.0,4865.056,0.0,40.0,Private,Doctorate,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,Philippines,<=50K
20.0,1484705.0,9.0,0.0,0.0,10.869458,Private,10th,Never-married,Sales,Own-child,Black,Male,United-States,<=50K
35.0,175284.14,13.0,7688.0,0.0,60.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
31.0,183862.42,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Black,Female,United-States,<=50K
39.0,439847.06,13.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
30.0,138441.94,13.0,0.0,0.0,40.0,,Bachelors,Never-married,,Own-child,White,Male,United-States,<=50K
43.0,13492.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
23.0,198203.25,9.0,0.0,0.0,35.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
45.0,221706.98,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
29.0,167480.33,10.0,0.0,0.0,50.0,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
41.0,238646.94,9.0,0.0,0.0,80.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
24.0,215168.48,9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
39.0,208887.55,10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
68.692726,207230.4,9.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Tech-support,Husband,White,Male,Cuba,>50K
58.0,190891.6,9.0,0.0,0.0,1.0,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
58.0,13492.0,1.0,0.0,0.0,40.0,Self-emp-not-inc,10th,Widowed,Craft-repair,Unmarried,White,Male,United-States,<=50K
46.0,170420.52,13.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
43.0,127560.26,10.0,0.0,0.0,48.0,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
39.0,179368.81,10.0,0.0,0.0,25.0,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,United-States,>50K
29.0,137945.6,10.0,0.0,0.0,65.0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
21.0,182913.66,10.0,0.0,0.0,20.0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
23.0,181077.11,9.0,0.0,0.0,40.0,,HS-grad,Never-married,,Own-child,White,Male,United-States,<=50K
27.0,336892.4,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
52.0,192014.27,10.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,,<=50K
28.0,224734.66,1.0,0.0,0.0,40.0,Private,10th,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
30.0,144003.08,10.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,Philippines,<=50K
33.0,256161.62,13.0,0.0,0.0,55.0,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
43.0,220900.08,12.0,0.0,0.0,83.90363,Local-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
47.0,172995.61,13.0,0.0,0.0,55.0,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
39.0,77867.97,10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,>50K
